Architecture,Memory,Workers,sk,cores,proc_time
arm64,7680,5,20221224_045911,5,1.9310071770014474
arm64,7680,5,20221224_050110,5,1.8941829059986048
arm64,7680,5,20221224_050309,5,1.924422381001932
arm64,7680,5,20221224_050510,5,1.9248524520007777
arm64,7680,5,20221224_050710,5,1.9216728510000394
arm64,7680,5,20221224_050909,5,1.9224314630046138
arm64,7680,5,20221224_051110,5,1.9079038900017622
arm64,7680,5,20221224_051310,5,1.9187043989950325
arm64,7680,5,20221224_051510,5,1.9297939669995685
arm64,7680,5,20221224_051710,5,1.971204518005834
arm64,7680,5,20221224_051910,5,1.9344201570056612
arm64,7680,5,20221224_052110,5,1.901368710998213
arm64,7680,5,20221224_052310,5,1.9200496549965465
arm64,7680,5,20221224_052510,5,1.9148225199969602
arm64,7680,5,20221224_052710,5,1.9420721779970336
arm64,7680,5,20221224_052910,5,1.9492950860003475
arm64,7680,5,20221224_053109,5,1.94682566299889
arm64,7680,5,20221224_053310,5,1.9229989140003454
arm64,7680,5,20221224_053510,5,1.9300181310027256
arm64,7680,5,20221224_053710,5,1.9350526240014005
arm64,7680,5,20221224_053910,5,1.9461494450006285
arm64,7680,5,20221224_054111,5,1.9099042019952321
arm64,7680,5,20221224_054310,5,1.9236725640002987
arm64,7680,5,20221224_054510,5,1.9288758949987823
arm64,7680,5,20221224_054710,5,1.8833373349989415
arm64,7680,5,20221224_054910,5,1.926690433996555
arm64,7680,5,20221224_055109,5,1.9175869749960839
arm64,7680,5,20221224_055310,5,1.928185704004136
arm64,7680,5,20221224_055510,5,1.9229319279984338
arm64,7680,5,20221224_055711,5,1.929062283001258
arm64,7680,5,20221224_055910,5,1.9151683169984608
arm64,7680,5,20221224_060110,5,1.9409541150016594
arm64,7680,5,20221224_060310,5,1.9025594480044674
arm64,7680,5,20221224_060510,5,1.9263482640017173
arm64,7680,5,20221224_060710,5,1.9484122799985926
arm64,7680,5,20221224_060910,5,1.917653208001866
arm64,7680,5,20221224_061110,5,1.8983199810027145
arm64,7680,5,20221224_061310,5,1.9266330969985574
arm64,7680,5,20221224_061510,5,1.9304595900030108
arm64,7680,5,20221224_061710,5,1.91691180899943
arm64,7680,5,20221224_061910,5,1.9139562070049578
arm64,7680,5,20221224_062110,5,1.9336803250043886
arm64,7680,5,20221224_062310,5,1.9329395009990549
arm64,7680,5,20221224_062510,5,1.938026007002918
arm64,7680,5,20221224_062710,5,1.928870611001912
arm64,7680,5,20221224_062910,5,1.8955024219976622
arm64,7680,5,20221224_063110,5,1.947247233998496
arm64,7680,5,20221224_063310,5,1.930092576003517
arm64,7680,5,20221224_063510,5,1.9466266880044714
arm64,7680,5,20221224_063710,5,1.9488479560022824
arm64,7680,5,20221224_063910,5,1.9333757350032101
arm64,7680,5,20221224_064110,5,1.8961106999995536
arm64,7680,5,20221224_064310,5,1.939489317999687
arm64,7680,5,20221224_064510,5,1.926449564001814
arm64,7680,5,20221224_064709,5,1.9568941019970225
arm64,7680,5,20221224_064910,5,1.9256640460007475
arm64,7680,5,20221224_065110,5,1.9417124569954467
arm64,7680,5,20221224_065310,5,1.899378065005294
arm64,7680,5,20221224_065510,5,1.9467478450023918
arm64,7680,5,20221224_065709,5,1.9497014450025745
arm64,7680,5,20221224_065910,5,1.9260559719987214
arm64,7680,5,20221224_070110,5,1.916130671997962
arm64,7680,5,20221224_070310,5,1.9152396529971156
arm64,7680,5,20221224_070510,5,1.8951939500038861
arm64,7680,5,20221224_070710,5,1.8709826190024614
arm64,7680,5,20221224_070910,5,1.9311476069997298
arm64,7680,5,20221224_071110,5,1.939261182997143
arm64,7680,5,20221224_071310,5,1.9258626439986983
arm64,7680,5,20221224_071510,5,1.950753794000775
arm64,7680,5,20221224_071710,5,1.9242279109967058
