Architecture,Memory,Workers,sk,cores,proc_time
arm64,768,4,20221224_045859,2,18.061594926999987
arm64,768,4,20221224_050059,2,18.176239095000028
arm64,768,4,20221224_050259,2,18.15221224800007
arm64,768,4,20221224_050458,2,18.125111710000056
arm64,768,4,20221224_050658,2,18.151892584999814
arm64,768,4,20221224_050858,2,18.148961860000327
arm64,768,4,20221224_051058,2,18.156601711999883
arm64,768,4,20221224_051259,2,18.213406405000114
arm64,768,4,20221224_051458,2,18.1511838739998
arm64,768,4,20221224_051658,2,18.172437116999845
arm64,768,4,20221224_051858,2,18.202491206000104
arm64,768,4,20221224_052059,2,18.33093225499988
arm64,768,4,20221224_052259,2,18.227569737000067
arm64,768,4,20221224_052458,2,18.144428281000273
arm64,768,4,20221224_052659,2,18.147636575999968
arm64,768,4,20221224_052859,2,18.294587344999854
arm64,768,4,20221224_053059,2,18.175797544000034
arm64,768,4,20221224_053259,2,18.200287563000074
arm64,768,4,20221224_053459,2,18.19596741500027
arm64,768,4,20221224_053659,2,18.242835714000194
arm64,768,4,20221224_053859,2,18.401765584999794
arm64,768,4,20221224_054059,2,18.2174500000001
arm64,768,4,20221224_054259,2,18.207772329999898
arm64,768,4,20221224_054459,2,18.352393973999824
arm64,768,4,20221224_054659,2,18.14900905599916
arm64,768,4,20221224_054858,2,18.164947033000317
arm64,768,4,20221224_055059,2,18.30313080399992
arm64,768,4,20221224_055259,2,18.35275719099991
arm64,768,4,20221224_055459,2,18.32789118100027
arm64,768,4,20221224_055658,2,18.163093938000202
arm64,768,4,20221224_055858,2,18.124899270999776
arm64,768,4,20221224_060059,2,18.320990242000335
arm64,768,4,20221224_060259,2,18.204515534000166
arm64,768,4,20221224_060459,2,18.261915821000002
arm64,768,4,20221224_060659,2,18.256349223999678
arm64,768,4,20221224_060859,2,18.226841941999737
arm64,768,4,20221224_061059,2,18.185754745999475
arm64,768,4,20221224_061259,2,18.20215934099997
arm64,768,4,20221224_061459,2,18.325907254999947
arm64,768,4,20221224_061659,2,18.175057352000294
arm64,768,4,20221224_061859,2,18.348929105000025
arm64,768,4,20221224_062059,2,18.17323822600065
arm64,768,4,20221224_062259,2,18.127620148999995
arm64,768,4,20221224_062459,2,18.16754329200012
arm64,768,4,20221224_062658,2,18.154813061000823
arm64,768,4,20221224_062859,2,18.348656768000183
arm64,768,4,20221224_063059,2,18.13250093700026
arm64,768,4,20221224_063259,2,18.362790324000343
arm64,768,4,20221224_063459,2,18.224825990999307
arm64,768,4,20221224_063658,2,18.196762845000194
arm64,768,4,20221224_063859,2,18.206190150999646
arm64,768,4,20221224_064059,2,18.19909484799973
arm64,768,4,20221224_064258,2,18.145205478000207
arm64,768,4,20221224_064459,2,18.231023677999474
arm64,768,4,20221224_064659,2,18.335899468000207
arm64,768,4,20221224_064859,2,18.175101937999898
arm64,768,4,20221224_065059,2,18.4122467090001
arm64,768,4,20221224_065259,2,18.164065318998837
arm64,768,4,20221224_065459,2,18.243258032000085
arm64,768,4,20221224_065659,2,18.26764413300043
arm64,768,4,20221224_065859,2,18.23559738900076
arm64,768,4,20221224_070059,2,18.45407816700026
arm64,768,4,20221224_070259,2,18.260902134999924
arm64,768,4,20221224_070459,2,18.270021034999445
arm64,768,4,20221224_070659,2,18.282631489000778
arm64,768,4,20221224_070859,2,18.42119155399996
arm64,768,4,20221224_071059,2,18.38717801599887
arm64,768,4,20221224_071259,2,18.445557593000558
arm64,768,4,20221224_071459,2,18.283364525999787
arm64,768,4,20221224_071659,2,18.301751668999714
arm64,768,4,20221224_071859,2,18.261574610000025
arm64,768,4,20221224_072059,2,18.31291726500058
arm64,768,4,20221224_072259,2,18.309628157001498
arm64,768,4,20221224_072459,2,18.285440924000795
arm64,768,4,20221224_072659,2,18.25547628899949
arm64,768,4,20221224_072859,2,18.27905171400016
arm64,768,4,20221224_073059,2,18.497185671001716
arm64,768,4,20221224_073259,2,18.315267689000393
arm64,768,4,20221224_073459,2,18.242141175000143
arm64,768,4,20221224_073659,2,18.33751171900076
arm64,768,4,20221224_073859,2,18.28496692200133
arm64,768,4,20221224_074059,2,18.31524563399944
arm64,768,4,20221224_074259,2,18.514133042999674
arm64,768,4,20221224_074459,2,18.252142782999726
arm64,768,4,20221224_074659,2,18.295319118999032
arm64,768,4,20221224_074859,2,18.522216694000235
arm64,768,4,20221224_075059,2,18.26753070599989
arm64,768,4,20221224_075259,2,18.275907500999892
arm64,768,4,20221224_075459,2,18.233811477000927
arm64,768,4,20221224_075659,2,18.261896480998985
arm64,768,4,20221224_075859,2,18.22820906400011
arm64,768,4,20221224_080059,2,18.258246807999967
arm64,768,4,20221224_080259,2,18.290199586999734
arm64,768,4,20221224_080459,2,18.224401252999087
arm64,768,4,20221224_080659,2,18.29732116299965
arm64,768,4,20221224_080859,2,18.08069562000003
arm64,768,4,20221224_081059,2,18.136950249999927
arm64,768,4,20221224_081259,2,18.161877815000025
arm64,768,4,20221224_081459,2,18.346939253999835
