Architecture,Memory,Workers,sk,cores,proc_time
x86_64,10240,4,20221224_050004,6,3.3898586180002894
x86_64,10240,4,20221224_050203,6,3.3977647930005332
x86_64,10240,4,20221224_050401,6,3.6849601040012203
x86_64,10240,4,20221224_050602,6,3.298563444001047
x86_64,10240,4,20221224_050803,6,3.287571601998934
x86_64,10240,4,20221224_051001,6,3.289633701000639
x86_64,10240,4,20221224_051202,6,3.904792567000186
x86_64,10240,4,20221224_051403,6,3.369151086000784
x86_64,10240,4,20221224_051603,6,3.4643384579994745
x86_64,10240,4,20221224_051803,6,3.3082375600006344
x86_64,10240,4,20221224_052002,6,3.3828804299992044
x86_64,10240,4,20221224_052202,6,3.2809923099994194
x86_64,10240,4,20221224_052403,6,3.5238683509996918
x86_64,10240,4,20221224_052603,6,3.3083011750004516
x86_64,10240,4,20221224_052803,6,3.3282677179995517
x86_64,10240,4,20221224_053002,6,3.323543527001675
x86_64,10240,4,20221224_053202,6,3.2921549220009183
x86_64,10240,4,20221224_053403,6,3.3024787699996523
x86_64,10240,4,20221224_053603,6,3.536287089000325
x86_64,10240,4,20221224_053803,6,3.3632538620004198
x86_64,10240,4,20221224_054002,6,3.3228295070002787
x86_64,10240,4,20221224_054203,6,3.3165748240007815
x86_64,10240,4,20221224_054402,6,3.4774037760016654
x86_64,10240,4,20221224_054603,6,3.5311683349991654
x86_64,10240,4,20221224_054803,6,4.178457144998902
x86_64,10240,4,20221224_055002,6,3.3062795649984764
x86_64,10240,4,20221224_055201,6,3.3051451579995046
x86_64,10240,4,20221224_055402,6,3.46653423799944
x86_64,10240,4,20221224_055603,6,3.3139226749990485
x86_64,10240,4,20221224_055802,6,3.43429687599928
x86_64,10240,4,20221224_060002,6,3.3007999990004464
x86_64,10240,4,20221224_060203,6,3.3468114970000897
x86_64,10240,4,20221224_060404,6,3.3385042409991
x86_64,10240,4,20221224_060604,6,3.414574671000082
x86_64,10240,4,20221224_060804,6,3.3085410350013262
x86_64,10240,4,20221224_061004,6,3.3096452549998503
x86_64,10240,4,20221224_061203,6,3.308863804999419
x86_64,10240,4,20221224_061403,6,3.6259128040001087
x86_64,10240,4,20221224_061603,6,3.5101912209993316
x86_64,10240,4,20221224_061803,6,3.586282881000443
x86_64,10240,4,20221224_062003,6,3.3109862040000735
x86_64,10240,4,20221224_062203,6,3.3182044029999815
x86_64,10240,4,20221224_062403,6,3.448166943000615
x86_64,10240,4,20221224_062603,6,3.3643444960016495
x86_64,10240,4,20221224_062803,6,3.2805902199997945
x86_64,10240,4,20221224_063003,6,3.391280521000226
x86_64,10240,4,20221224_063203,6,3.3832028640008502
x86_64,10240,4,20221224_063403,6,3.341863456998908
x86_64,10240,4,20221224_063602,6,3.349303969000175
x86_64,10240,4,20221224_063803,6,3.348617765999734
x86_64,10240,4,20221224_064003,6,3.3347167299998546
x86_64,10240,4,20221224_064203,6,3.5455569389996526
x86_64,10240,4,20221224_064402,6,3.324916884999766
x86_64,10240,4,20221224_064603,6,3.7966810680009075
x86_64,10240,4,20221224_064802,6,3.281629721999707
x86_64,10240,4,20221224_065003,6,3.4383465709997836
x86_64,10240,4,20221224_065203,6,3.439035010000225
x86_64,10240,4,20221224_065404,6,3.297005471000375
x86_64,10240,4,20221224_065603,6,3.447360166999715
x86_64,10240,4,20221224_065802,6,3.329457462001301
x86_64,10240,4,20221224_070003,6,3.4665866070026823
x86_64,10240,4,20221224_070204,6,3.465764199999967
x86_64,10240,4,20221224_070403,6,3.3546010099998966
x86_64,10240,4,20221224_070603,6,3.4281096449999495
x86_64,10240,4,20221224_070804,6,3.4390050070001053
x86_64,10240,4,20221224_071003,6,3.7092539479999687
x86_64,10240,4,20221224_071204,6,3.4118294510001306
x86_64,10240,4,20221224_071402,6,3.3216571900002236
x86_64,10240,4,20221224_071603,6,3.392582407000191
x86_64,10240,4,20221224_071805,6,5.721531027999845
x86_64,10240,4,20221224_072003,6,3.495177512999817
x86_64,10240,4,20221224_072203,6,3.6197322259999964
x86_64,10240,4,20221224_072408,6,7.107794957999886
x86_64,10240,4,20221224_072603,6,3.437014305000048
x86_64,10240,4,20221224_072802,6,3.4755056540002442
x86_64,10240,4,20221224_073004,6,4.037462175999735
x86_64,10240,4,20221224_073204,6,3.450694766000197
x86_64,10240,4,20221224_073404,6,3.7174188210001375
x86_64,10240,4,20221224_073607,6,6.170948631000101
x86_64,10240,4,20221224_073805,6,3.581095215000005
x86_64,10240,4,20221224_074004,6,3.382358114999988
x86_64,10240,4,20221224_074205,6,4.13648988299974
x86_64,10240,4,20221224_074404,6,3.6704735930002244
x86_64,10240,4,20221224_074604,6,3.455323239000336
x86_64,10240,4,20221224_074804,6,4.016061635999904
x86_64,10240,4,20221224_075005,6,3.9096867819998806
x86_64,10240,4,20221224_075204,6,3.5392124350000813
x86_64,10240,4,20221224_075404,6,4.113929629999802
x86_64,10240,4,20221224_075603,6,3.900769228000172
x86_64,10240,4,20221224_075806,6,6.533368669999618
x86_64,10240,4,20221224_080007,6,7.181717538000157
x86_64,10240,4,20221224_080206,6,5.6800908909999634
x86_64,10240,4,20221224_080406,6,5.331625725000777
x86_64,10240,4,20221224_080608,6,7.148539286000414
x86_64,10240,4,20221224_080804,6,4.063139158000013
x86_64,10240,4,20221224_081004,6,4.058764513999449
x86_64,10240,4,20221224_081206,6,6.771022912999797
x86_64,10240,4,20221224_081405,6,4.673739161999947
x86_64,10240,4,20221224_081605,6,4.344152093999583
x86_64,10240,4,20221224_081807,6,7.055971732999751
x86_64,10240,4,20221224_082004,6,4.5368252529997335
x86_64,10240,4,20221224_082203,6,4.165167983999709
x86_64,10240,4,20221224_082406,6,7.333982674999788
x86_64,10240,4,20221224_082603,6,3.485853522999605
x86_64,10240,4,20221224_082802,6,3.6596618319999834
x86_64,10240,4,20221224_083007,6,7.550781125999492
x86_64,10240,4,20221224_083205,6,5.7439626949999365
x86_64,10240,4,20221224_083403,6,4.497755657000198
x86_64,10240,4,20221224_083606,6,6.806664236999495
x86_64,10240,4,20221224_083804,6,4.898208788999909
x86_64,10240,4,20221224_084003,6,4.220557437000025
x86_64,10240,4,20221224_084206,6,6.00407946300038
x86_64,10240,4,20221224_084402,6,3.9170344779995503
x86_64,10240,4,20221224_084604,6,3.7651398429998153
x86_64,10240,4,20221224_084806,6,5.97282068200002
x86_64,10240,4,20221224_085004,6,3.732430471999578
x86_64,10240,4,20221224_085203,6,3.4659671580002396
x86_64,10240,4,20221224_085407,6,6.612328844999865
x86_64,10240,4,20221224_085603,6,3.402841814000567
x86_64,10240,4,20221224_085804,6,3.537562732000879
x86_64,10240,4,20221224_090006,6,5.4459904079994885
x86_64,10240,4,20221224_090204,6,4.305821976000516
x86_64,10240,4,20221224_090404,6,3.530846550998831
x86_64,10240,4,20221224_090612,6,12.267636401000345
x86_64,10240,4,20221224_090804,6,5.542316497001593
x86_64,10240,4,20221224_091003,6,3.396428229999401
x86_64,10240,4,20221224_091203,6,3.7339477839996107
x86_64,10240,4,20221224_091402,6,3.01108632299929
x86_64,10240,4,20221224_091604,6,3.221712745000332
x86_64,10240,4,20221224_091807,6,5.629580605000228
x86_64,10240,4,20221224_092004,6,3.2708470529996703
x86_64,10240,4,20221224_092204,6,2.838485701000536
x86_64,10240,4,20221224_092405,6,5.1171922869998525
x86_64,10240,4,20221224_092603,6,3.116950851001093
x86_64,10240,4,20221224_092803,6,3.0822506899985456
x86_64,10240,4,20221224_093004,6,3.0677142459990137
x86_64,10240,4,20221224_093204,6,3.123733706999701
x86_64,10240,4,20221224_093404,6,2.907103733999975
x86_64,10240,4,20221224_093604,6,2.8535338920009963
x86_64,10240,4,20221224_093804,6,2.9171047740001086
x86_64,10240,4,20221224_094004,6,2.867131316999803
x86_64,10240,4,20221224_094205,6,3.7191049930006557
x86_64,10240,4,20221224_094406,6,2.8485520200010797
x86_64,10240,4,20221224_094605,6,2.9827343779998046
x86_64,10240,4,20221224_094806,6,3.5687755620001553
x86_64,10240,4,20221224_095005,6,3.1066636819996347
x86_64,10240,4,20221224_095205,6,3.180168392000269
x86_64,10240,4,20221224_095408,6,6.0915608659997815
x86_64,10240,4,20221224_095605,6,3.005894251000427
x86_64,10240,4,20221224_095805,6,3.5346168920004857
x86_64,10240,4,20221224_100006,6,4.1320659190005244
x86_64,10240,4,20221224_100204,6,3.0591212199997244
x86_64,10240,4,20221224_100405,6,3.3019329819999257
x86_64,10240,4,20221224_100606,6,4.568124978999549
x86_64,10240,4,20221224_100808,6,6.522031114000129
x86_64,10240,4,20221224_101005,6,3.294680884999252
x86_64,10240,4,20221224_101209,6,7.213179250999019
x86_64,10240,4,20221224_101406,6,4.51467744600086
x86_64,10240,4,20221224_101606,6,4.405547663000107
x86_64,10240,4,20221224_101809,6,7.7188194489990565
x86_64,10240,4,20221224_102006,6,4.544101593999585
x86_64,10240,4,20221224_102206,6,4.470163609999872
x86_64,10240,4,20221224_102408,6,6.777066200000263
x86_64,10240,4,20221224_102605,6,3.609906203000719
x86_64,10240,4,20221224_102806,6,5.6178271810003935
x86_64,10240,4,20221224_103007,6,5.883727914000701
x86_64,10240,4,20221224_103205,6,3.8451769390012487
x86_64,10240,4,20221224_103405,6,3.627130185999704
x86_64,10240,4,20221224_103608,6,6.1800333420014795
x86_64,10240,4,20221224_103804,6,3.084478519998811
x86_64,10240,4,20221224_104005,6,2.9194922179995046
x86_64,10240,4,20221224_104204,6,2.8556107580006937
x86_64,10240,4,20221224_104404,6,2.8318772929997067
x86_64,10240,4,20221224_104604,6,2.8328120349997334
x86_64,10240,4,20221224_104804,6,2.836235562001093
x86_64,10240,4,20221224_105004,6,2.827477644999817
x86_64,10240,4,20221224_105204,6,2.8342804730000353
x86_64,10240,4,20221224_105404,6,2.834879132999049
x86_64,10240,4,20221224_105604,6,2.863211186000626
x86_64,10240,4,20221224_105805,6,2.837131254000269
x86_64,10240,4,20221224_110004,6,2.8389107849998254
x86_64,10240,4,20221224_110205,6,2.8376630140010093
x86_64,10240,4,20221224_110404,6,2.838138525999966
x86_64,10240,4,20221224_110604,6,2.8272542499998963
x86_64,10240,4,20221224_110805,6,2.841214861999106
x86_64,10240,4,20221224_111004,6,2.8356060780006374
x86_64,10240,4,20221224_111205,6,2.879017630999442
x86_64,10240,4,20221224_111409,6,3.921840978999171
x86_64,10240,4,20221224_111608,6,4.478881822999028
x86_64,10240,4,20221224_111809,6,4.432132251000439
