Architecture,Memory,Workers,sk,cores,proc_time
x86_64,7424,4,20221224_045953,5,3.196080285999983
x86_64,7424,4,20221224_050152,5,3.2644163429999935
x86_64,7424,4,20221224_050350,5,3.2568821210000465
x86_64,7424,4,20221224_050551,5,3.287687799999958
x86_64,7424,4,20221224_050752,5,3.281922418000022
x86_64,7424,4,20221224_050950,5,3.3566538779999746
x86_64,7424,4,20221224_051150,5,3.3044719229999373
x86_64,7424,4,20221224_051351,5,3.2859579490000215
x86_64,7424,4,20221224_051552,5,3.292718702000002
x86_64,7424,4,20221224_051752,5,3.3441041040000528
x86_64,7424,4,20221224_051951,5,3.3089051250001376
x86_64,7424,4,20221224_052151,5,3.356500766000181
x86_64,7424,4,20221224_052352,5,3.3264974200001234
x86_64,7424,4,20221224_052552,5,3.336084117000155
x86_64,7424,4,20221224_052752,5,3.321211632000086
x86_64,7424,4,20221224_052951,5,3.3009984010000153
x86_64,7424,4,20221224_053151,5,3.3377916330000517
x86_64,7424,4,20221224_053352,5,3.319733955999709
x86_64,7424,4,20221224_053551,5,3.301503059999959
x86_64,7424,4,20221224_053751,5,3.285768800000369
x86_64,7424,4,20221224_053951,5,3.443158575000325
x86_64,7424,4,20221224_054152,5,3.3283181460001288
x86_64,7424,4,20221224_054351,5,3.3400822799999332
x86_64,7424,4,20221224_054552,5,3.2928844890002438
x86_64,7424,4,20221224_054751,5,3.3102152709998336
x86_64,7424,4,20221224_054951,5,3.2982241509998858
x86_64,7424,4,20221224_055150,5,3.313105299000199
x86_64,7424,4,20221224_055351,5,3.341412056000081
x86_64,7424,4,20221224_055551,5,3.3146382410000115
x86_64,7424,4,20221224_055751,5,3.352425126000071
x86_64,7424,4,20221224_055952,5,3.5018989689997397
x86_64,7424,4,20221224_060152,5,3.332803659000092
x86_64,7424,4,20221224_060352,5,3.3656207580002047
x86_64,7424,4,20221224_060553,5,3.309986444999595
x86_64,7424,4,20221224_060753,5,3.3052231140000004
x86_64,7424,4,20221224_060953,5,3.5024482629996783
x86_64,7424,4,20221224_061152,5,3.3248726600004375
x86_64,7424,4,20221224_061352,5,3.3046614929999123
x86_64,7424,4,20221224_061552,5,3.299700720999681
x86_64,7424,4,20221224_061751,5,3.3198396190000494
x86_64,7424,4,20221224_061951,5,3.2863889500004007
x86_64,7424,4,20221224_062152,5,3.33137660400007
x86_64,7424,4,20221224_062352,5,3.6876431340006093
x86_64,7424,4,20221224_062552,5,3.3331985429995257
x86_64,7424,4,20221224_062752,5,3.3566027540000505
x86_64,7424,4,20221224_062952,5,3.3336789949999
x86_64,7424,4,20221224_063152,5,3.292993366000701
x86_64,7424,4,20221224_063352,5,3.3153854180000053
x86_64,7424,4,20221224_063551,5,3.300443109999833
x86_64,7424,4,20221224_063752,5,3.343557895000231
x86_64,7424,4,20221224_063952,5,3.289773489000254
x86_64,7424,4,20221224_064152,5,3.3164586019993294
x86_64,7424,4,20221224_064351,5,3.293310148999808
x86_64,7424,4,20221224_064551,5,3.38132251099978
x86_64,7424,4,20221224_064751,5,3.319054599000083
x86_64,7424,4,20221224_064952,5,3.292933703000017
x86_64,7424,4,20221224_065152,5,3.4152965040002528
x86_64,7424,4,20221224_065352,5,3.3178707400002168
x86_64,7424,4,20221224_065552,5,3.3250424499992732
x86_64,7424,4,20221224_065751,5,3.3108774020001874
x86_64,7424,4,20221224_065952,5,3.3226135790000626
x86_64,7424,4,20221224_070152,5,3.3326041360005547
x86_64,7424,4,20221224_070352,5,3.309302826000021
x86_64,7424,4,20221224_070552,5,3.406885313001112
x86_64,7424,4,20221224_070753,5,3.4423416379977425
x86_64,7424,4,20221224_070952,5,3.34451923099914
x86_64,7424,4,20221224_071153,5,3.421415282002272
x86_64,7424,4,20221224_071351,5,3.3857169590010017
x86_64,7424,4,20221224_071552,5,3.4252398050011834
x86_64,7424,4,20221224_071752,5,3.4209627659984108
x86_64,7424,4,20221224_071951,5,3.408566720001545
x86_64,7424,4,20221224_072151,5,3.462214823000977
x86_64,7424,4,20221224_072353,5,3.4542599890010024
x86_64,7424,4,20221224_072552,5,3.4207615359991905
x86_64,7424,4,20221224_072751,5,3.4676698819966987
x86_64,7424,4,20221224_072952,5,3.4626553899979626
x86_64,7424,4,20221224_073153,5,3.5862242650000553
x86_64,7424,4,20221224_073352,5,3.5169618150030146
x86_64,7424,4,20221224_073553,5,3.508213288998377
x86_64,7424,4,20221224_073754,5,3.4832315989988274
x86_64,7424,4,20221224_073953,5,3.5476511859997117
x86_64,7424,4,20221224_074153,5,3.6203241770017485
x86_64,7424,4,20221224_074355,5,5.500776821001637
x86_64,7424,4,20221224_074553,5,3.753967699001805
x86_64,7424,4,20221224_074753,5,3.753527541000949
x86_64,7424,4,20221224_074953,5,3.5437442019974696
x86_64,7424,4,20221224_075153,5,3.5982765480002854
x86_64,7424,4,20221224_075352,5,3.4425057919979736
x86_64,7424,4,20221224_075552,5,3.848150658999657
x86_64,7424,4,20221224_075752,5,3.64843960899816
x86_64,7424,4,20221224_075952,5,3.6953599640000903
x86_64,7424,4,20221224_080153,5,3.767103397000028
x86_64,7424,4,20221224_080353,5,3.8096828809975705
x86_64,7424,4,20221224_080553,5,3.459150912000041
x86_64,7424,4,20221224_080752,5,3.407094706002681
x86_64,7424,4,20221224_080952,5,3.4760420759994304
x86_64,7424,4,20221224_081152,5,3.5505483169981744
x86_64,7424,4,20221224_081352,5,3.555256872998143
x86_64,7424,4,20221224_081553,5,3.559505237000849
x86_64,7424,4,20221224_081752,5,3.5689310719972127
x86_64,7424,4,20221224_081951,5,3.4538080370002717
x86_64,7424,4,20221224_082153,5,4.586350505000155
x86_64,7424,4,20221224_082351,5,3.4774873099995602
x86_64,7424,4,20221224_082552,5,3.438720911999553
x86_64,7424,4,20221224_082751,5,3.478150569000718
x86_64,7424,4,20221224_082951,5,3.402402383999288
x86_64,7424,4,20221224_083152,5,3.5111932609979704
x86_64,7424,4,20221224_083351,5,3.448093422000966
x86_64,7424,4,20221224_083551,5,3.3639183630002663
x86_64,7424,4,20221224_083751,5,3.386109035996924
x86_64,7424,4,20221224_083951,5,3.3810721070003638
x86_64,7424,4,20221224_084152,5,3.3861174800003937
x86_64,7424,4,20221224_084351,5,3.514207954001904
x86_64,7424,4,20221224_084552,5,3.4555718490009895
x86_64,7424,4,20221224_084752,5,3.4165154790025554
x86_64,7424,4,20221224_084952,5,3.4053979340023943
x86_64,7424,4,20221224_085151,5,3.3846817949997785
x86_64,7424,4,20221224_085353,5,3.4788330480005243
x86_64,7424,4,20221224_085551,5,3.449058692000108
x86_64,7424,4,20221224_085753,5,3.3779705589986406
x86_64,7424,4,20221224_085952,5,3.3948583470009908
x86_64,7424,4,20221224_090152,5,3.4092473489981785
x86_64,7424,4,20221224_090353,5,3.0154256990001613
x86_64,7424,4,20221224_090552,5,2.9945976240001073
x86_64,7424,4,20221224_090751,5,3.5290204389998507
x86_64,7424,4,20221224_090952,5,3.8529015979997894
x86_64,7424,4,20221224_091151,5,3.1396350929999244
x86_64,7424,4,20221224_091351,5,3.193182140999852
x86_64,7424,4,20221224_091553,5,3.1816686160000245
x86_64,7424,4,20221224_091753,5,3.3228884999998627
x86_64,7424,4,20221224_091953,5,3.314642455000012
x86_64,7424,4,20221224_092154,5,3.727290560000256
x86_64,7424,4,20221224_092352,5,3.28026053099984
x86_64,7424,4,20221224_092552,5,3.464226146999863
x86_64,7424,4,20221224_092752,5,3.2751970290000827
x86_64,7424,4,20221224_092953,5,3.392595763999907
x86_64,7424,4,20221224_093153,5,3.4492635659998996
x86_64,7424,4,20221224_093353,5,3.5445854559998224
x86_64,7424,4,20221224_093553,5,3.248792549999962
x86_64,7424,4,20221224_093754,5,4.013939529000254
x86_64,7424,4,20221224_093953,5,3.297685821000414
x86_64,7424,4,20221224_094153,5,3.125348503999703
x86_64,7424,4,20221224_094354,5,3.0752106939999067
x86_64,7424,4,20221224_094554,5,3.394697095000083
x86_64,7424,4,20221224_094754,5,3.7664892920001876
x86_64,7424,4,20221224_094954,5,3.703358290000324
x86_64,7424,4,20221224_095153,5,3.294431612000153
x86_64,7424,4,20221224_095354,5,4.0138684860003195
x86_64,7424,4,20221224_095553,5,3.095118000000184
x86_64,7424,4,20221224_095754,5,3.288476339999761
x86_64,7424,4,20221224_095954,5,3.3007096659994204
x86_64,7424,4,20221224_100153,5,3.3817736190003416
x86_64,7424,4,20221224_100353,5,3.060216468999897
x86_64,7424,4,20221224_100553,5,3.166123055000753
x86_64,7424,4,20221224_100753,5,3.0475063650001175
x86_64,7424,4,20221224_100953,5,3.2239417399996455
x86_64,7424,4,20221224_101154,5,3.752475395000147
x86_64,7424,4,20221224_101353,5,3.1473161599997184
x86_64,7424,4,20221224_101554,5,3.591119031000744
x86_64,7424,4,20221224_101753,5,3.131356330000017
x86_64,7424,4,20221224_101954,5,3.3291349410001203
x86_64,7424,4,20221224_102153,5,3.10614409199934
x86_64,7424,4,20221224_102353,5,3.055535895000503
x86_64,7424,4,20221224_102553,5,3.292441437999514
x86_64,7424,4,20221224_102753,5,3.247364591000405
x86_64,7424,4,20221224_102953,5,3.3617795809996096
x86_64,7424,4,20221224_103153,5,3.120534460000272
x86_64,7424,4,20221224_103353,5,3.0326042570004574
x86_64,7424,4,20221224_103553,5,3.208666358999835
x86_64,7424,4,20221224_103753,5,2.9869184700000915
x86_64,7424,4,20221224_103954,5,3.463460386999941
x86_64,7424,4,20221224_104153,5,3.282252091999908
x86_64,7424,4,20221224_104353,5,3.0293405860002167
x86_64,7424,4,20221224_104553,5,3.0205396379997183
x86_64,7424,4,20221224_104753,5,3.044360271000187
x86_64,7424,4,20221224_104953,5,3.2928543099999388
x86_64,7424,4,20221224_105153,5,3.2957535570001255
x86_64,7424,4,20221224_105354,5,3.276798564000046
x86_64,7424,4,20221224_105553,5,3.2799774750001234
x86_64,7424,4,20221224_105754,5,3.3084871149999344
x86_64,7424,4,20221224_105954,5,3.3218153080001684
x86_64,7424,4,20221224_110154,5,3.2882420700002513
x86_64,7424,4,20221224_110353,5,3.27859076499999
x86_64,7424,4,20221224_110554,5,3.4251486170001044
x86_64,7424,4,20221224_110754,5,3.452173056999982
x86_64,7424,4,20221224_110953,5,3.2847811569999976
x86_64,7424,4,20221224_111154,5,3.3453441860001476
x86_64,7424,4,20221224_111357,5,3.8538724169998204
x86_64,7424,4,20221224_111556,5,3.582521273999646
x86_64,7424,4,20221224_111757,5,4.3082847650002805
