Architecture,Memory,Workers,sk,cores,proc_time
x86_64,9728,2,20221224_050005,6,6.687685364999197
x86_64,9728,2,20221224_050204,6,6.495622734999415
x86_64,9728,2,20221224_050402,6,6.945382386998972
x86_64,9728,2,20221224_050603,6,6.5664195740009745
x86_64,9728,2,20221224_050804,6,6.540530419000788
x86_64,9728,2,20221224_051002,6,6.621889422000095
x86_64,9728,2,20221224_051203,6,6.931922714000393
x86_64,9728,2,20221224_051404,6,6.6967300530013745
x86_64,9728,2,20221224_051604,6,6.470872019001035
x86_64,9728,2,20221224_051804,6,6.634024265000335
x86_64,9728,2,20221224_052004,6,7.16261537399987
x86_64,9728,2,20221224_052203,6,6.70598298799996
x86_64,9728,2,20221224_052404,6,6.768379580998953
x86_64,9728,2,20221224_052604,6,6.435698956998749
x86_64,9728,2,20221224_052804,6,6.476036387999557
x86_64,9728,2,20221224_053006,6,8.874039704000097
x86_64,9728,2,20221224_053203,6,6.747131781001372
x86_64,9728,2,20221224_053406,6,8.699973601998863
x86_64,9728,2,20221224_053604,6,7.616164168000978
x86_64,9728,2,20221224_053804,6,6.777998003000903
x86_64,9728,2,20221224_054003,6,7.319437788999494
x86_64,9728,2,20221224_054204,6,7.0448777839992545
x86_64,9728,2,20221224_054403,6,6.828881838999223
x86_64,9728,2,20221224_054605,6,7.705980538999938
x86_64,9728,2,20221224_054805,6,8.493975519000742
x86_64,9728,2,20221224_055004,6,7.309866704999877
x86_64,9728,2,20221224_055202,6,6.52406152399999
x86_64,9728,2,20221224_055403,6,6.865999065999858
x86_64,9728,2,20221224_055604,6,6.749179476999416
x86_64,9728,2,20221224_055803,6,6.427334316998895
x86_64,9728,2,20221224_060003,6,6.467622645001029
x86_64,9728,2,20221224_060205,6,7.434206027999608
x86_64,9728,2,20221224_060405,6,6.844040883001071
x86_64,9728,2,20221224_060605,6,6.736205740999139
x86_64,9728,2,20221224_060805,6,6.5575814620005985
x86_64,9728,2,20221224_061005,6,6.560206289999769
x86_64,9728,2,20221224_061204,6,6.69291081099982
x86_64,9728,2,20221224_061404,6,6.456203031999394
x86_64,9728,2,20221224_061604,6,6.4353035949989135
x86_64,9728,2,20221224_061803,6,6.518292798000402
x86_64,9728,2,20221224_062003,6,6.5055939740013855
x86_64,9728,2,20221224_062204,6,6.580205560998365
x86_64,9728,2,20221224_062404,6,6.51246607900066
x86_64,9728,2,20221224_062604,6,7.25953452900103
x86_64,9728,2,20221224_062804,6,6.590767523999602
x86_64,9728,2,20221224_063004,6,6.494772416001069
x86_64,9728,2,20221224_063204,6,6.503708543001267
x86_64,9728,2,20221224_063404,6,6.581969413000479
x86_64,9728,2,20221224_063603,6,6.602739066001959
x86_64,9728,2,20221224_063804,6,6.424520429998665
x86_64,9728,2,20221224_064004,6,6.476250155003072
x86_64,9728,2,20221224_064204,6,6.505761939999502
x86_64,9728,2,20221224_064404,6,6.925446770001145
x86_64,9728,2,20221224_064603,6,6.842597400001978
x86_64,9728,2,20221224_064803,6,6.536788897999941
x86_64,9728,2,20221224_065004,6,6.593892870001582
x86_64,9728,2,20221224_065204,6,6.527924312998948
x86_64,9728,2,20221224_065404,6,6.538474321998365
x86_64,9728,2,20221224_065604,6,6.611800368998956
x86_64,9728,2,20221224_065803,6,6.5958443350027665
x86_64,9728,2,20221224_070004,6,6.578593076999823
x86_64,9728,2,20221224_070204,6,6.631536613000208
x86_64,9728,2,20221224_070404,6,6.680352483999741
x86_64,9728,2,20221224_070605,6,7.037856392998947
x86_64,9728,2,20221224_070805,6,6.482133672998316
x86_64,9728,2,20221224_071004,6,6.553220082001644
x86_64,9728,2,20221224_071204,6,6.441194232998896
x86_64,9728,2,20221224_071403,6,6.385787293998874
x86_64,9728,2,20221224_071604,6,6.386888380000528
x86_64,9728,2,20221224_071804,6,6.407482931001141
x86_64,9728,2,20221224_072003,6,6.388617797001643
x86_64,9728,2,20221224_072203,6,6.419625739999901
x86_64,9728,2,20221224_072405,6,6.423127449999811
x86_64,9728,2,20221224_072604,6,6.418615897999189
x86_64,9728,2,20221224_072803,6,6.393325272001675
x86_64,9728,2,20221224_073003,6,6.380310747999829
x86_64,9728,2,20221224_073205,6,6.487965271999201
x86_64,9728,2,20221224_073404,6,6.404311041998881
x86_64,9728,2,20221224_073604,6,6.393677238998862
x86_64,9728,2,20221224_073806,6,6.765162585001235
x86_64,9728,2,20221224_074005,6,6.426467822000632
x86_64,9728,2,20221224_074205,6,6.491385625000476
x86_64,9728,2,20221224_074404,6,6.424652575999062
x86_64,9728,2,20221224_074605,6,6.552746789999219
x86_64,9728,2,20221224_074804,6,6.5010824740002136
x86_64,9728,2,20221224_075005,6,6.420717542001512
x86_64,9728,2,20221224_075204,6,6.406294845999582
x86_64,9728,2,20221224_075404,6,6.382203463001133
x86_64,9728,2,20221224_075603,6,6.427651648000392
x86_64,9728,2,20221224_075804,6,6.3969411560010485
x86_64,9728,2,20221224_080004,6,6.449561784000252
x86_64,9728,2,20221224_080204,6,6.407854615999895
x86_64,9728,2,20221224_080404,6,6.449519894000332
x86_64,9728,2,20221224_080605,6,6.45889936399908
x86_64,9728,2,20221224_080804,6,6.479900700000144
x86_64,9728,2,20221224_081004,6,6.43312593599876
x86_64,9728,2,20221224_081204,6,6.403098928998588
x86_64,9728,2,20221224_081404,6,6.386492319001263
x86_64,9728,2,20221224_081605,6,6.388313253999513
x86_64,9728,2,20221224_081804,6,6.528572216000612
x86_64,9728,2,20221224_082003,6,6.434782308999274
x86_64,9728,2,20221224_082203,6,6.430949593002879
x86_64,9728,2,20221224_082403,6,6.446623846000875
x86_64,9728,2,20221224_082604,6,6.4150001800007885
x86_64,9728,2,20221224_082803,6,6.390834210000321
x86_64,9728,2,20221224_083003,6,6.4414222910018
x86_64,9728,2,20221224_083203,6,6.381618907998927
x86_64,9728,2,20221224_083403,6,6.363453055997525
x86_64,9728,2,20221224_083603,6,6.381793837997975
x86_64,9728,2,20221224_083804,6,6.622760473001108
x86_64,9728,2,20221224_084003,6,6.537762054998893
x86_64,9728,2,20221224_084204,6,6.508029971999349
x86_64,9728,2,20221224_084402,6,6.536211751999872
x86_64,9728,2,20221224_084604,6,6.544057426001018
x86_64,9728,2,20221224_084804,6,6.538888646000487
x86_64,9728,2,20221224_085004,6,6.73926561799999
x86_64,9728,2,20221224_085203,6,6.466255205999914
x86_64,9728,2,20221224_085405,6,6.592073227000583
x86_64,9728,2,20221224_085603,6,6.6263158270012354
x86_64,9728,2,20221224_085805,6,6.540796601000693
x86_64,9728,2,20221224_090004,6,6.597390938999524
x86_64,9728,2,20221224_090204,6,6.744246872000076
x86_64,9728,2,20221224_090405,6,7.033189755000421
x86_64,9728,2,20221224_090605,6,6.700073934000102
x86_64,9728,2,20221224_090802,6,6.705911246999676
x86_64,9728,2,20221224_091003,6,6.501258193000467
x86_64,9728,2,20221224_091203,6,6.632471873999748
x86_64,9728,2,20221224_091403,6,6.536229348999768
x86_64,9728,2,20221224_091605,6,6.397321414999169
x86_64,9728,2,20221224_091805,6,6.423713794999458
x86_64,9728,2,20221224_092005,6,6.393842304999453
x86_64,9728,2,20221224_092205,6,6.498480219000157
x86_64,9728,2,20221224_092404,6,6.49505433900049
x86_64,9728,2,20221224_092603,6,6.391241274001004
x86_64,9728,2,20221224_092804,6,6.407199455001319
x86_64,9728,2,20221224_093005,6,6.406933183001456
x86_64,9728,2,20221224_093205,6,6.443981725999038
x86_64,9728,2,20221224_093405,6,6.4285358950000955
x86_64,9728,2,20221224_093605,6,6.451485772999149
x86_64,9728,2,20221224_093805,6,6.4103179140001885
x86_64,9728,2,20221224_094006,6,6.54944740800056
x86_64,9728,2,20221224_094206,6,6.448503592999259
x86_64,9728,2,20221224_094407,6,6.400801100000535
x86_64,9728,2,20221224_094606,6,6.396169707000809
x86_64,9728,2,20221224_094806,6,6.436631753000256
x86_64,9728,2,20221224_095006,6,6.447798602999683
x86_64,9728,2,20221224_095206,6,6.455269692000002
x86_64,9728,2,20221224_095406,6,6.485842662999858
x86_64,9728,2,20221224_095606,6,6.386298532999717
x86_64,9728,2,20221224_095806,6,6.571125905000372
x86_64,9728,2,20221224_100006,6,6.4282581959996605
x86_64,9728,2,20221224_100205,6,6.419394996000847
x86_64,9728,2,20221224_100405,6,6.444503152999459
x86_64,9728,2,20221224_100605,6,6.619821018999573
x86_64,9728,2,20221224_100806,6,6.420538522999777
x86_64,9728,2,20221224_101006,6,6.552113379999355
x86_64,9728,2,20221224_101206,6,6.50109030099884
x86_64,9728,2,20221224_101406,6,6.434901972999796
x86_64,9728,2,20221224_101606,6,6.423163709001528
x86_64,9728,2,20221224_101806,6,6.4180312150001555
x86_64,9728,2,20221224_102006,6,6.388176295000449
x86_64,9728,2,20221224_102206,6,6.578083812999466
x86_64,9728,2,20221224_102405,6,6.470839995999995
x86_64,9728,2,20221224_102606,6,6.406098736000786
x86_64,9728,2,20221224_102805,6,6.396309099000064
x86_64,9728,2,20221224_103005,6,6.4088655520008615
x86_64,9728,2,20221224_103206,6,6.426820484999553
x86_64,9728,2,20221224_103406,6,6.48365079299947
x86_64,9728,2,20221224_103606,6,6.606166781000866
x86_64,9728,2,20221224_103806,6,6.783637271000771
x86_64,9728,2,20221224_104006,6,6.4531678589992225
x86_64,9728,2,20221224_104205,6,6.398263192999366
x86_64,9728,2,20221224_104405,6,6.462620831000095
x86_64,9728,2,20221224_104606,6,6.433967119999579
x86_64,9728,2,20221224_104805,6,6.428210395999486
x86_64,9728,2,20221224_105005,6,6.4185266839995165
x86_64,9728,2,20221224_105206,6,6.8755580999986705
x86_64,9728,2,20221224_105406,6,6.750145899999552
x86_64,9728,2,20221224_105605,6,6.474043273999996
x86_64,9728,2,20221224_105806,6,6.447520693000115
x86_64,9728,2,20221224_110007,6,7.5132777449998684
x86_64,9728,2,20221224_110206,6,6.672718515999804
x86_64,9728,2,20221224_110406,6,6.455294874000174
x86_64,9728,2,20221224_110606,6,6.465916944998753
x86_64,9728,2,20221224_110806,6,6.486861045000069
x86_64,9728,2,20221224_111005,6,6.4466776810000965
x86_64,9728,2,20221224_111206,6,6.471535608000067
x86_64,9728,2,20221224_111409,6,6.452542969999854
x86_64,9728,2,20221224_111608,6,6.4455094150000605
x86_64,9728,2,20221224_111809,6,6.482919576000086
