Architecture,Memory,Workers,sk,cores,proc_time
x86_64,4352,1,20221224_045949,3,12.504212369000015
x86_64,4352,1,20221224_050149,3,12.597810605000177
x86_64,4352,1,20221224_050347,3,12.777720158999728
x86_64,4352,1,20221224_050548,3,12.544707170000038
x86_64,4352,1,20221224_050748,3,12.524971937999908
x86_64,4352,1,20221224_050947,3,12.679259991000436
x86_64,4352,1,20221224_051147,3,12.587162697000167
x86_64,4352,1,20221224_051348,3,12.524672188000295
x86_64,4352,1,20221224_051548,3,12.630019659000027
x86_64,4352,1,20221224_051748,3,12.595185750999917
x86_64,4352,1,20221224_051948,3,12.611018439999498
x86_64,4352,1,20221224_052148,3,12.540455413000018
x86_64,4352,1,20221224_052348,3,12.54552965000039
x86_64,4352,1,20221224_052548,3,12.537920396000118
x86_64,4352,1,20221224_052748,3,12.542426781999893
x86_64,4352,1,20221224_052948,3,12.638219174999904
x86_64,4352,1,20221224_053148,3,12.520760218999385
x86_64,4352,1,20221224_053349,3,12.569161618999715
x86_64,4352,1,20221224_053548,3,12.550247584999852
x86_64,4352,1,20221224_053748,3,12.540112330999364
x86_64,4352,1,20221224_053947,3,12.643744712000625
x86_64,4352,1,20221224_054149,3,12.537669151000046
x86_64,4352,1,20221224_054348,3,12.532514739000362
x86_64,4352,1,20221224_054549,3,12.59471212399967
x86_64,4352,1,20221224_054748,3,12.55135700199935
x86_64,4352,1,20221224_054948,3,12.585559699000441
x86_64,4352,1,20221224_055147,3,12.553413514000567
x86_64,4352,1,20221224_055348,3,12.531651860000238
x86_64,4352,1,20221224_055548,3,12.545896029000687
x86_64,4352,1,20221224_055748,3,12.511377157000425
x86_64,4352,1,20221224_055948,3,12.51727533400026
x86_64,4352,1,20221224_060148,3,12.55671637100022
x86_64,4352,1,20221224_060349,3,12.535290771999826
x86_64,4352,1,20221224_060549,3,12.580806225000742
x86_64,4352,1,20221224_060749,3,12.52150988699941
x86_64,4352,1,20221224_060949,3,12.561285761999898
x86_64,4352,1,20221224_061148,3,12.548888453000473
x86_64,4352,1,20221224_061348,3,12.560635795000053
x86_64,4352,1,20221224_061548,3,12.541129003999231
x86_64,4352,1,20221224_061748,3,12.533259489999182
x86_64,4352,1,20221224_061948,3,12.529324421999263
x86_64,4352,1,20221224_062148,3,12.522085699001764
x86_64,4352,1,20221224_062348,3,12.528978476999328
x86_64,4352,1,20221224_062548,3,12.529404049000732
x86_64,4352,1,20221224_062748,3,12.534104733998902
x86_64,4352,1,20221224_062948,3,12.54380267200031
x86_64,4352,1,20221224_063148,3,12.567904370998804
x86_64,4352,1,20221224_063348,3,12.577341823000097
x86_64,4352,1,20221224_063548,3,12.521624528999382
x86_64,4352,1,20221224_063748,3,12.585447223000301
x86_64,4352,1,20221224_063949,3,12.52249377499902
x86_64,4352,1,20221224_064148,3,12.519047363999562
x86_64,4352,1,20221224_064348,3,12.539666098000453
x86_64,4352,1,20221224_064548,3,12.567819269999745
x86_64,4352,1,20221224_064747,3,12.634260666000046
x86_64,4352,1,20221224_064948,3,12.543586109999524
x86_64,4352,1,20221224_065148,3,12.631508424999993
x86_64,4352,1,20221224_065349,3,12.539041848000124
x86_64,4352,1,20221224_065548,3,12.642333210998913
x86_64,4352,1,20221224_065747,3,12.577368180998747
x86_64,4352,1,20221224_065949,3,12.56071693299964
x86_64,4352,1,20221224_070149,3,12.568719412000064
x86_64,4352,1,20221224_070349,3,12.541733972000657
x86_64,4352,1,20221224_070549,3,12.547429433001525
x86_64,4352,1,20221224_070749,3,12.63249468399954
x86_64,4352,1,20221224_070948,3,12.535705168000277
x86_64,4352,1,20221224_071150,3,12.76362000500012
x86_64,4352,1,20221224_071348,3,12.706734811999922
x86_64,4352,1,20221224_071549,3,12.655381922999823
x86_64,4352,1,20221224_071749,3,12.933593763999852
x86_64,4352,1,20221224_071948,3,12.91415885599963
x86_64,4352,1,20221224_072148,3,13.114454175999981
x86_64,4352,1,20221224_072349,3,12.764123979000033
x86_64,4352,1,20221224_072549,3,12.834174431000065
x86_64,4352,1,20221224_072748,3,12.835804529000143
x86_64,4352,1,20221224_072948,3,12.768214126000203
x86_64,4352,1,20221224_073149,3,12.775990266000008
x86_64,4352,1,20221224_073349,3,12.702274065999973
x86_64,4352,1,20221224_073549,3,12.679854864999925
x86_64,4352,1,20221224_073750,3,13.122786004999853
x86_64,4352,1,20221224_073949,3,12.69213714999978
x86_64,4352,1,20221224_074149,3,12.720103250999728
x86_64,4352,1,20221224_074349,3,12.76393255100038
x86_64,4352,1,20221224_074549,3,12.742986780000138
x86_64,4352,1,20221224_074749,3,12.712936023000111
x86_64,4352,1,20221224_074950,3,12.937915698000324
x86_64,4352,1,20221224_075149,3,12.89914306799983
x86_64,4352,1,20221224_075348,3,12.776381577000393
x86_64,4352,1,20221224_075548,3,12.686424534999787
x86_64,4352,1,20221224_075749,3,12.825937786000395
x86_64,4352,1,20221224_075948,3,12.68244632599999
x86_64,4352,1,20221224_080149,3,13.081609494000077
x86_64,4352,1,20221224_080350,3,13.506800265000493
x86_64,4352,1,20221224_080549,3,12.868843969000409
x86_64,4352,1,20221224_080749,3,12.64172661199973
x86_64,4352,1,20221224_080949,3,12.871574497999973
x86_64,4352,1,20221224_081149,3,13.62602659300046
