Architecture,Memory,Workers,sk,cores,proc_time
x86_64,512,5,20221224_050006,2,43.88036879799995
x86_64,512,5,20221224_050205,2,43.93804959700003
x86_64,512,5,20221224_050404,2,43.94374587300001
x86_64,512,5,20221224_050605,2,44.19924233300003
x86_64,512,5,20221224_050806,2,44.24112871200009
x86_64,512,5,20221224_051004,2,43.74169298900006
x86_64,512,5,20221224_051205,2,44.057591341000034
x86_64,512,5,20221224_051405,2,44.121427366000034
x86_64,512,5,20221224_051605,2,44.183309323
x86_64,512,5,20221224_051805,2,44.09929130400019
x86_64,512,5,20221224_052005,2,44.18297977600014
x86_64,512,5,20221224_052205,2,44.26136880100012
x86_64,512,5,20221224_052405,2,44.241978571000345
x86_64,512,5,20221224_052605,2,44.24289363099979
x86_64,512,5,20221224_052805,2,44.046138258000155
x86_64,512,5,20221224_053005,2,44.14219188600009
x86_64,512,5,20221224_053205,2,44.13942305399996
x86_64,512,5,20221224_053405,2,44.156436235
x86_64,512,5,20221224_053605,2,44.24012802900006
x86_64,512,5,20221224_053805,2,44.04274224799974
x86_64,512,5,20221224_054005,2,44.2385173990001
x86_64,512,5,20221224_054206,2,44.160733067000365
x86_64,512,5,20221224_054405,2,44.11726612500024
x86_64,512,5,20221224_054606,2,44.13742113299986
x86_64,512,5,20221224_054805,2,44.07668651999984
x86_64,512,5,20221224_055005,2,43.858991859999605
x86_64,512,5,20221224_055204,2,44.05887401700011
x86_64,512,5,20221224_055405,2,44.14154001299994
x86_64,512,5,20221224_055605,2,44.15542461599989
x86_64,512,5,20221224_055806,2,44.047707099000036
x86_64,512,5,20221224_060005,2,44.05939738199959
x86_64,512,5,20221224_060205,2,44.018886161999944
x86_64,512,5,20221224_060406,2,44.10754475199974
x86_64,512,5,20221224_060605,2,43.7230591309999
x86_64,512,5,20221224_060805,2,43.93550917899938
x86_64,512,5,20221224_061006,2,44.02278543200009
x86_64,512,5,20221224_061205,2,44.170970542999385
x86_64,512,5,20221224_061405,2,43.89858403500057
x86_64,512,5,20221224_061605,2,43.7429675759995
x86_64,512,5,20221224_061805,2,43.69883721000042
x86_64,512,5,20221224_062005,2,43.95393878499999
x86_64,512,5,20221224_062205,2,44.049970897000094
x86_64,512,5,20221224_062405,2,44.14184587300042
x86_64,512,5,20221224_062605,2,44.27615198900003
x86_64,512,5,20221224_062805,2,44.28102029299953
x86_64,512,5,20221224_063005,2,44.04068801700032
x86_64,512,5,20221224_063205,2,44.12078096799996
x86_64,512,5,20221224_063405,2,44.118636465000236
x86_64,512,5,20221224_063605,2,44.20112200699987
x86_64,512,5,20221224_063805,2,44.320642077999764
x86_64,512,5,20221224_064005,2,44.19826462899982
x86_64,512,5,20221224_064205,2,44.086083875999975
x86_64,512,5,20221224_064405,2,44.042588027999955
x86_64,512,5,20221224_064605,2,44.162937492999845
x86_64,512,5,20221224_064805,2,44.18182414900002
x86_64,512,5,20221224_065005,2,43.96045769800003
x86_64,512,5,20221224_065205,2,44.277027670999814
x86_64,512,5,20221224_065406,2,44.37858960199992
x86_64,512,5,20221224_065605,2,44.2431449579999
x86_64,512,5,20221224_065805,2,44.261528325000654
