Architecture,Memory,Workers,cores,avg_proc_time
arm64,7936,2,5,4.055528086741996
arm64,7936,3,5,2.786594213341933
arm64,7936,4,5,2.1272761488421423
arm64,7936,5,5,1.880354667194687
arm64,7936,6,5,2.2360820248995963
arm64,8192,1,5,7.884749554757859
arm64,8192,2,5,4.053191243484176
arm64,8192,3,5,2.783647545052707
arm64,8192,4,5,2.126415054768367
arm64,8192,5,5,1.8495354310158292
arm64,8192,6,5,2.2262945010526103
arm64,8448,1,5,7.890039946347377
arm64,8448,2,5,4.044239179783692
arm64,8448,3,5,2.78254813367356
arm64,8448,4,5,2.120150190952591
arm64,8448,5,5,1.8024340046421696
arm64,8448,6,5,2.206472748868569
arm64,8704,1,5,7.878947076815913
arm64,8704,2,5,4.03991299795244
arm64,8704,3,5,2.781670950584192
arm64,8704,4,5,2.126810407747299
arm64,8704,5,5,1.7869783573368678
arm64,8704,6,5,2.201365879536814
arm64,8960,1,6,7.875137101010516
arm64,8960,2,6,4.053530757736659
arm64,8960,3,6,2.7815533012683917
arm64,8960,4,6,2.1204874287737767
arm64,8960,5,6,1.747714054815967
arm64,8960,6,6,1.7232916917632362
arm64,9216,1,6,7.888177665010268
arm64,9216,2,6,4.051814868789447
arm64,9216,3,6,2.7727597152370915
arm64,9216,4,6,2.132374046984095
arm64,9216,5,6,1.7424096555052795
arm64,9216,6,6,1.6562941765737575
arm64,9472,1,6,7.893459809215705
arm64,9472,2,6,4.0441218044367995
arm64,9472,3,6,2.778344832126309
arm64,9472,4,6,2.1244168610790055
arm64,9472,5,6,1.740982372857654
arm64,9472,6,6,1.6236371918262003
arm64,9728,1,6,7.878105269589621
arm64,9728,2,6,4.047225391947608
arm64,9728,3,6,2.77863015226324
arm64,9728,4,6,2.121943724489239
arm64,9728,5,6,1.7396915728369142
arm64,9728,6,6,1.5947046418422168
arm64,9984,1,6,7.882560916415763
arm64,9984,2,6,4.044447538742336
arm64,9984,3,6,2.779954897526137
arm64,9984,4,6,2.1180308279790263
arm64,9984,5,6,1.7398079012211813
arm64,9984,6,6,1.579781805984385
arm64,10240,1,6,7.886142295768495
arm64,10240,2,6,4.048196411810448
arm64,10240,3,6,2.7742049605476544
arm64,10240,4,6,2.126014757084187
arm64,10240,5,6,1.7352117626156733
arm64,10240,6,6,1.5525259092210801
x86_64,128,1,2,178.56342328858952
x86_64,128,2,2,179.63926533356843
x86_64,128,3,2,179.52067234471053
x86_64,128,4,2,179.10419718866845
x86_64,128,5,2,180.3420952027526
x86_64,128,6,2,178.26515455257896
x86_64,256,1,2,87.69610435668945
x86_64,256,2,2,89.18826140384209
x86_64,256,3,2,88.8573865351474
x86_64,256,4,2,88.9354990723053
x86_64,256,5,2,89.03686004291579
x86_64,256,6,2,89.29097365001573
x86_64,512,1,2,44.88871275320002
x86_64,512,2,2,43.838406276810545
x86_64,512,3,2,44.737587470321046
x86_64,512,4,2,43.667226576610524
x86_64,512,5,2,44.26649845977368
x86_64,512,6,2,44.44015777360525
x86_64,768,1,2,28.999626690994727
x86_64,768,2,2,29.576814117089434
x86_64,768,3,2,29.811436823952594
x86_64,768,4,2,30.023485885968448
x86_64,768,5,2,29.404605920131555
x86_64,768,6,2,29.588898784642122
x86_64,1024,1,2,22.137558012873658
x86_64,1024,2,2,22.205890397952636
x86_64,1024,3,2,21.973958483557954
x86_64,1024,4,2,21.90279915707893
x86_64,1024,5,2,22.1623205214158
x86_64,1024,6,2,22.004205224736857
x86_64,1280,1,2,17.701148289700043
x86_64,1280,2,2,17.632563333231552
x86_64,1280,3,2,17.52232499344215
x86_64,1280,4,2,17.788320644742097
x86_64,1280,5,2,17.775370887747396
x86_64,1280,6,2,17.78571696962099
x86_64,1536,1,2,14.958107939757879
x86_64,1536,2,2,14.7532647047947
x86_64,1536,3,2,15.066983407847387
x86_64,1536,4,2,14.70852634184217
x86_64,1536,5,2,14.848746346279002
x86_64,1536,6,2,14.786149223452604
x86_64,1792,1,2,13.131278073384228
x86_64,1792,2,2,12.716303020289416
x86_64,1792,3,2,12.701917822410538
x86_64,1792,4,2,12.896011860568402
x86_64,1792,5,2,12.603946972757925
x86_64,1792,6,2,12.768338054384214
x86_64,2048,1,2,12.875594619405259
x86_64,2048,2,2,11.02546233925786
x86_64,2048,3,2,11.179319110810509
x86_64,2048,4,2,11.126116489910514
x86_64,2048,5,2,11.102717208247384
x86_64,2048,6,2,11.040027818268342
x86_64,2304,1,2,12.790604333452656
x86_64,2304,2,2,9.854419724721048
x86_64,2304,3,2,10.031206205526392
x86_64,2304,4,2,9.934681207857885
x86_64,2304,5,2,9.896071165968445
x86_64,2304,6,2,9.875825760842096
x86_64,2560,1,2,12.864516194873747
x86_64,2560,2,2,8.910224803499958
x86_64,2560,3,2,8.984597505626327
x86_64,2560,4,2,8.90158963893684
x86_64,2560,5,2,8.671103602242102
x86_64,2560,6,2,8.937548014210524
x86_64,2816,1,2,12.811161184768354
x86_64,2816,2,2,8.128240978536828
x86_64,2816,3,2,8.143193153947353
x86_64,2816,4,2,8.228276163568385
x86_64,2816,5,2,8.01458590728949
x86_64,2816,6,2,8.080961894357884
x86_64,3072,1,3,12.69648703464212
x86_64,3072,2,3,7.565608748526264
x86_64,3072,3,3,7.324658051847367
x86_64,3072,4,3,7.423431373136854
x86_64,3072,5,3,7.3977442696736055
x86_64,3072,6,3,7.539160486268415
x86_64,3328,1,3,12.786538357378982
x86_64,3328,2,3,7.126973057500023
x86_64,3328,3,3,6.934249485768453
x86_64,3328,4,3,6.814499851073686
x86_64,3328,5,3,6.848515174494727
x86_64,3328,6,3,6.810156238563171
x86_64,3584,1,3,12.6529310878158
x86_64,3584,2,3,6.635361236915886
x86_64,3584,3,3,6.43736503987898
x86_64,3584,4,3,6.401478097710497
x86_64,3584,5,3,6.33878005771054
x86_64,3584,6,3,6.417380720378993
x86_64,3840,1,3,12.7948472090526
x86_64,3840,2,3,6.69210824744211
x86_64,3840,3,3,6.028832096842094
x86_64,3840,4,3,6.160992206915731
x86_64,3840,5,3,5.874859017515743
x86_64,3840,6,3,5.929046009389422
x86_64,4096,1,3,12.63038347128947
x86_64,4096,2,3,6.793012496131606
x86_64,4096,3,3,5.674547413447421
x86_64,4096,4,3,5.8464066016737
x86_64,4096,5,3,5.681198601389518
x86_64,4096,6,3,5.969629016363147
x86_64,4352,1,3,12.906063444531636
x86_64,4352,2,3,6.455822475857893
x86_64,4352,3,3,5.433954441163158
x86_64,4352,4,3,5.576714630805234
x86_64,4352,5,3,5.381153399936839
x86_64,4352,6,3,5.3196866274631915
x86_64,4608,1,3,12.670865054942148
x86_64,4608,2,3,6.545419580094751
x86_64,4608,3,3,5.2388132416368585
x86_64,4608,4,3,5.374095159447344
x86_64,4608,5,3,5.295245720584206
x86_64,4608,6,3,5.000002773494724
x86_64,4864,1,3,12.784630049789422
x86_64,4864,2,3,6.506849029768486
x86_64,4864,3,3,4.828305221036822
x86_64,4864,4,3,5.283657651368372
x86_64,4864,5,3,5.027673592747338
x86_64,4864,6,3,4.872606868657931
x86_64,5120,1,3,12.857578351405298
x86_64,5120,2,3,6.553423763021056
x86_64,5120,3,3,4.777202885384209
x86_64,5120,4,3,5.134035799526311
x86_64,5120,5,3,4.7888225270526386
x86_64,5120,6,3,4.765124418147376
x86_64,5376,1,4,12.794871898089657
x86_64,5376,2,4,6.544162743299847
x86_64,5376,3,4,4.66406953437892
x86_64,5376,4,4,4.379932661363261
x86_64,5376,5,4,4.7647770746474105
x86_64,5376,6,4,4.358513366705225
x86_64,5632,1,4,12.678117590089728
x86_64,5632,2,4,6.583302990268624
x86_64,5632,3,4,4.5263228779000775
x86_64,5632,4,4,4.089981686826468
x86_64,5632,5,4,4.547095186905352
x86_64,5632,6,4,4.190576247399842
x86_64,5888,1,4,12.708515041926368
x86_64,5888,2,4,6.402667570336962
x86_64,5888,3,4,4.666863910968363
x86_64,5888,4,4,4.083538870147373
x86_64,5888,5,4,4.452045089294849
x86_64,5888,6,4,4.292896961441984
x86_64,6144,1,4,12.041905609605276
x86_64,6144,2,4,6.650758489047301
x86_64,6144,3,4,4.519408208863338
x86_64,6144,4,4,3.878591464005398
x86_64,6144,5,4,4.2740340637843675
x86_64,6144,6,4,4.072074069405138
x86_64,6400,1,4,12.884956438163355
x86_64,6400,2,4,6.552636900889391
