Architecture,Memory,Workers,sk,cores,proc_time
x86_64,3072,3,20221224_045940,3,7.299930930000073
x86_64,3072,3,20221224_050139,3,7.498375006999595
x86_64,3072,3,20221224_050337,3,7.433334798000033
x86_64,3072,3,20221224_050538,3,7.27546005899967
x86_64,3072,3,20221224_050738,3,7.332501233999665
x86_64,3072,3,20221224_050937,3,7.310199812000064
x86_64,3072,3,20221224_051138,3,7.29160091499989
x86_64,3072,3,20221224_051338,3,7.3231910879999305
x86_64,3072,3,20221224_051538,3,7.43989700100019
x86_64,3072,3,20221224_051738,3,7.306094564999967
x86_64,3072,3,20221224_051938,3,7.337735218000034
x86_64,3072,3,20221224_052138,3,7.348916238000129
x86_64,3072,3,20221224_052338,3,7.278994065999996
x86_64,3072,3,20221224_052538,3,7.2869651070000145
x86_64,3072,3,20221224_052738,3,7.304370666000068
x86_64,3072,3,20221224_052938,3,7.280987510000159
x86_64,3072,3,20221224_053138,3,7.298013207999702
x86_64,3072,3,20221224_053338,3,7.286009787999774
x86_64,3072,3,20221224_053538,3,7.471251809999558
x86_64,3072,3,20221224_053738,3,7.314245595000102
x86_64,3072,3,20221224_053937,3,7.26928317599959
x86_64,3072,3,20221224_054139,3,7.314429695999934
x86_64,3072,3,20221224_054338,3,7.475323594000656
x86_64,3072,3,20221224_054539,3,7.281454566999855
x86_64,3072,3,20221224_054738,3,7.265077965999808
x86_64,3072,3,20221224_054938,3,7.293422130999716
x86_64,3072,3,20221224_055137,3,7.30438846800007
x86_64,3072,3,20221224_055338,3,7.361442290999548
x86_64,3072,3,20221224_055538,3,7.30581881299986
x86_64,3072,3,20221224_055738,3,7.291184968999914
x86_64,3072,3,20221224_055938,3,7.455133415999626
x86_64,3072,3,20221224_060138,3,7.2980030510007055
x86_64,3072,3,20221224_060339,3,7.740991122999731
x86_64,3072,3,20221224_060539,3,7.319606576999831
x86_64,3072,3,20221224_060739,3,7.2963811499994335
x86_64,3072,3,20221224_060939,3,7.328182043000197
x86_64,3072,3,20221224_061138,3,7.287942259000374
x86_64,3072,3,20221224_061338,3,7.28478864599947
x86_64,3072,3,20221224_061538,3,7.283668478000436
x86_64,3072,3,20221224_061739,3,7.789867097999377
x86_64,3072,3,20221224_061938,3,7.319401738000124
x86_64,3072,3,20221224_062138,3,7.325831475000086
x86_64,3072,3,20221224_062338,3,7.278544010000587
x86_64,3072,3,20221224_062538,3,7.257014333999905
x86_64,3072,3,20221224_062738,3,7.2594035109996184
x86_64,3072,3,20221224_062939,3,7.276090825999745
x86_64,3072,3,20221224_063138,3,7.344220907999443
x86_64,3072,3,20221224_063338,3,7.300526890000583
x86_64,3072,3,20221224_063538,3,7.285432018000392
x86_64,3072,3,20221224_063738,3,7.314700944999458
x86_64,3072,3,20221224_063939,3,7.552578048999749
x86_64,3072,3,20221224_064138,3,7.2649327859999175
x86_64,3072,3,20221224_064338,3,7.292834911000682
x86_64,3072,3,20221224_064538,3,7.3132265990007
x86_64,3072,3,20221224_064738,3,7.3431395560000965
x86_64,3072,3,20221224_064938,3,7.306411228999423
x86_64,3072,3,20221224_065138,3,7.293846078999195
x86_64,3072,3,20221224_065339,3,7.7446273810001
x86_64,3072,3,20221224_065539,3,7.550233123998623
x86_64,3072,3,20221224_065738,3,7.234866247999889
x86_64,3072,3,20221224_065939,3,7.508627238000372
x86_64,3072,3,20221224_070139,3,7.260573094000392
x86_64,3072,3,20221224_070339,3,7.245778217999941
x86_64,3072,3,20221224_070539,3,7.256494834000478
x86_64,3072,3,20221224_070739,3,7.368500847999712
